Feature,Coefficient
bathrooms,-33.51695759278987
bedrooms,13.975364047818838
has_photo,8.801292486482204e-08
square_feet,0.8114339309739208
AC,-91.1692656151532
Basketball,-42.517577696006185
Cable or Satellite,-45.89985640980398
Elevator,194.70761252512318
Fireplace,-33.318804281602326
Garbage Disposal,-49.71932752212649
Gym,72.05626532745313
Hot Tub,31.864641156605046
Internet Access,69.90981100419987
Parking,40.36116848384228
Playground,-139.02171209827068
Refrigerator,-53.33752901403139
TV,29.015006924376415
Tennis,-51.99596699923089
View,62.46869926666774
Washer Dryer,-8.41679656161108
Wood Floors,74.61275318000835
Cats,23.825823931588033
"Cats,Dogs",52.5642258426351
Dogs,101.00752741326875
baños*area,-0.02673725982766939
cuartos*area,-0.11509136470318992
cuartos*baños,73.98943042151114
state_AL,-123.23236228603697
state_AR,-302.20664520922935
state_AZ,7.8451056714282
state_CA,970.7025941204386
state_CO,255.17416314835623
state_CT,166.99321407822606
state_DC,1003.954124940906
state_DE,112.34982518782454
state_FL,192.48451175008367
state_GA,23.35332146719543
state_HI,1011.38202755113
state_IA,-164.0061767914317
state_ID,130.11355539572574
state_IL,234.8462047648353
state_IN,-89.1537951717331
state_KS,-177.66440868240267
state_KY,-207.6824981793345
state_LA,-181.29861128916673
state_MA,911.1755187945814
state_MD,409.25306341051953
state_MI,-66.49836606950413
state_MN,226.24427691593655
state_MO,-121.6256194744243
state_MS,-334.4947768772323
state_MT,19.32012967040839
state_NC,-75.01503026056716
state_ND,-251.47234225590972
state_NE,-141.42129022805995
state_NH,361.8712673326502
state_NJ,619.2526450100413
state_NM,-84.77268352651761
state_NV,39.719200945662685
state_NY,268.75695681259714
state_OH,-90.64687342832634
state_OK,-166.1028978491774
state_OR,334.9699642955891
state_PA,172.09399207538434
state_RI,261.1872855224199
state_SC,-164.19005945430627
state_SD,-238.06335702633584
state_TN,-7.534997748045697
state_TX,87.22012901935551
state_UT,41.99265917252315
state_VA,280.2456951136414
state_VT,349.54974922507523
state_WA,552.252489535606
state_WI,90.45513132377165
state_WV,-201.9295351274946
state_WY,-713.1268045201865
