,bathrooms,bedrooms,has_photo,price,square_feet,address,cityname,state,latitude,longitude,source,time,AC,Alarm,Basketball,Cable or Satellite,Clubhouse,Dishwasher,Doorman,Elevator,Fireplace,Garbage Disposal,Gated,Golf,Gym,Hot Tub,Internet Access,Luxury,Parking,Patio/Deck,Playground,Pool,Refrigerator,Storage,TV,Tennis,View,Washer Dryer,Wood Floors,noamenities,Cats,"Cats,Dogs",Dogs,petsunknown
2,1.0,0.0,1,1390,107,addressunknown,Arlington,VA,38.891,-77.0816,RentLingo,1577359410,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
3,1.0,0.0,1,925,116,1717 12th Avenue,Seattle,WA,47.616,-122.3275,RentLingo,1576667743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
5,1.0,0.0,1,2475,130,350 West 50th St,Manhattan,NY,40.7629,-73.9885,Listanza,1577289784,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1
8,1.0,0.0,1,1495,138,333 Hyde St,San Francisco,CA,37.7599,-122.4379,RentLingo,1577358313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
14,1.0,0.0,1,1695,190,57 Taylor St,San Francisco,CA,37.7599,-122.4379,RentLingo,1577015121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
15,1.0,1.0,1,1560,200,addressunknown,New Bern,NC,35.0847,-77.0609,ListedBuy,1576618076,1,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0
16,1.0,1.0,1,1560,200,180 Moonlight Lake Drive,New Bern,NC,35.096,-77.0272,RentDigs.com,1576406273,1,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0
17,1.0,1.0,1,1000,200,addressunknown,Spring,TX,30.0871,-95.4685,RentLingo,1577015327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
18,1.0,1.0,1,950,200,545 Georgia St 717-723 Sutter St,Vallejo,CA,38.1172,-122.2313,RentLingo,1577359918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
19,1.0,1.0,1,625,200,addressunknown,Marietta,GA,33.9649,-84.5107,RentLingo,1577359224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
